Customer Code,Agenda Appointments,Appointments Completed,Customer Code,Customer Type Group,Shop Code - Descr,Service Category Descr,Service Descr
00000WZA,01,01,00000WZA,PROSPECT,065-MADRID - MARCELO USERA,Pre-Sales,ENTREGA DE LA VENTA
00000XHY,01,01,00000XHY,PROSPECT,146-AVILES - DR. GRAIÑO,1st APPS,OPORTUNIDAD POTENCIAL
00000XPA,01,01,00000XPA,LEAD,182-ALCALA DE GUADAIRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000XPA,01,01,00000XPA,LEAD,182-ALCALA DE GUADAIRA,Pre-Sales,1° CONTROL PRUEBA
00000YWF,01,01,00000YWF,PROSPECT,161-ZAMORA - TRES CRUCES,1st APPS,OPORTUNIDAD POTENCIAL
00000Z0A,01,,00000Z0A,PROSPECT,218-ESTEPONA - REAL,1st APPS,OPORTUNIDAD POTENCIAL
00000Z5Z,01,,00000Z5Z,PROSPECT,118-GRANADA - DR. OLORIZ,1st APPS,OPORTUNIDAD POTENCIAL
00000ZBO,01,01,00000ZBO,CUSTOMER,079-CARTAGENA - PINTOR BALACA,1st APPS,OPORTUNIDAD 15 MINUTOS
00000ZF4,01,01,00000ZF4,PROSPECT,017-MATARO - LA RIERA,1st APPS,OPORTUNIDAD POTENCIAL
00000ZTU,01,01,00000ZTU,PROSPECT,063-LEON - ORDOÑO II,1st APPS,OPORTUNIDAD POTENCIAL
0000106Q,01,,0000106Q,PROSPECT,177-PONFERRADA,1st APPS,EXAMEN TELEMARKETING LE
000010LB,01,01,000010LB,PROSPECT,041-LOGROÑO - DE LA RIOJA,1st APPS,OPORTUNIDAD POTENCIAL
000011KG,01,,000011KG,PROSPECT,083-LAS ARENAS,1st APPS,OPORTUNIDAD POTENCIAL
000011KP,01,01,000011KP,CUSTOMER,111-GRANOLLERS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000012UQ,01,01,000012UQ,CUSTOMER,095-PAMPLONA/IRUÑA - BAYONA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0000134N,01,,0000134N,PROSPECT,187-MADRID - ALCALA 3,Pre-Sales,1° CONTROL PRUEBA
0000134N,01,,0000134N,PROSPECT,187-MADRID - ALCALA 3,Pre-Sales,2° CONTROL PRUEBA
000013MT,01,,000013MT,PROSPECT,078-BADAJOZ,1st APPS,OPORTUNIDAD POTENCIAL
000013PR,01,01,000013PR,PROSPECT,014-PONTEVEDRA - RÚA PEREGRINA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000015C4,01,01,000015C4,PROSPECT,034-CORNELLA LLOBREGAT - RAMBLA ANSELM CLAVÉ,1st APPS,OPORTUNIDAD POTENCIAL
000015F8,01,01,000015F8,PROSPECT,161-ZAMORA - TRES CRUCES,1st APPS,OPORTUNIDAD POTENCIAL
000015KQ,01,01,000015KQ,LEAD,99D-MALAGA - CARLOS HAYA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000017IQ,01,01,000017IQ,PROSPECT,086-SEGOVIA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000017IQ,01,01,000017IQ,PROSPECT,086-SEGOVIA,Pre-Sales,CIERRE DE LA PRUEBA
000017P2,01,01,000017P2,CUSTOMER,202-LA OROTAVA - OBISPO BENITEZ DE LUGO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000017P2,01,,000017P2,CUSTOMER,202-LA OROTAVA - OBISPO BENITEZ DE LUGO,Pre-Sales,1° CONTROL PRUEBA
000018G3,01,,000018G3,CUSTOMER,202-LA OROTAVA - OBISPO BENITEZ DE LUGO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
000019JT,01,01,000019JT,PROSPECT,123-BARCELONA - TRAVESSERA DE LES CORTS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001AAD,01,01,00001AAD,CUSTOMER,014-PONTEVEDRA - RÚA PEREGRINA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001AD4,01,,00001AD4,CUSTOMER,047-GETAFE - MADRID,1st APPS,OPORTUNIDAD 15 MINUTOS
00001AGG,01,01,00001AGG,CUSTOMER,095-PAMPLONA/IRUÑA - BAYONA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001AU5,01,,00001AU5,PROSPECT,165-ARRECIFE - FAJARDO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001AVC,01,01,00001AVC,CUSTOMER,006-SABADELL - RAMBLA 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001C6M,01,01,00001C6M,CUSTOMER,215-JAEN - ESTACION,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001C9N,01,01,00001C9N,CUSTOMER,128-VILANOVA I LA GELTRU,1st APPS,OPORTUNIDAD POTENCIAL
00001CBV,01,,00001CBV,CUSTOMER,163-MADRID - DEL MEDITERRANEO,1st APPS,OPORTUNIDAD POTENCIAL
00001CVR,01,,00001CVR,CUSTOMER,026-MURCIA - GRAN VIA ESCULTOR FCO. SALZILLO,Pre-Sales,IMPRESIONES CONDUCTO AUDITIVO
00001CXC,01,01,00001CXC,PROSPECT,107-MADRID - MONFORTE DE LEMOS 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001DGV,01,01,00001DGV,CUSTOMER,204-LEGANES - CALLE JUAN MUÑOZ,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001DNC,01,01,00001DNC,PROSPECT,090-MAJADAHONDA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001DNC,01,,00001DNC,PROSPECT,090-MAJADAHONDA,Pre-Sales,1° CONTROL PRUEBA
00001DO7,01,,00001DO7,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
